task_family,hidden_variable,count,safe_completion,task_success,regret,unsafe_rate,slip_rate,damage_rate,alias_rate,abstain_rate,certificate_precision,certificate_recall,boundary_f1,irreducible_score,hidden_need
latch,fluid_fill,9,0.7501655419282495,0.8127036582163225,0.18948489010526604,0.20846038762690988,0.2098174384610409,0.1973356946149368,0.563114328233396,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.08926581837482447,0.1866722134292268
latch,friction,9,0.5020276834685622,0.6177723692058543,0.4662851052918693,0.3858156191243072,0.3120206659555707,0.28931859936001364,0.8267351975030535,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3447738871111492,0.6484177522499841
latch,grasp_affordance,9,0.7426062975031695,0.8067880695398661,0.19777048737868702,0.21393924012232146,0.21361793095602818,0.20075613786042534,0.5643309667136218,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09876704961229271,0.1887698659813404
latch,local_geometry,9,0.737049775888953,0.8021372929654031,0.20242787176848903,0.21695839025483357,0.21550472329654222,0.20245425096688796,0.5672358963735642,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10348403046357768,0.19377836539503407
latch,occlusion_depth,9,0.7403441215826595,0.8048765251717989,0.1996620726246428,0.21510801196379736,0.21401059844669842,0.20110953860202857,0.5690927925177574,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09974871833896828,0.19697991047122934
latch,payload,9,0.5240708693199121,0.6350572808801934,0.442093539391035,0.36995470520093776,0.30152528957336644,0.2798727606160298,0.8177552975931817,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3185354461556383,0.6288136870730139
latch,support_stiffness,9,0.7512942123716423,0.8132812097876259,0.18660657052362284,0.20662332471994524,0.20883698103620615,0.19645328293258554,0.5595418473703496,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.0868146748127377,0.18051276366535374
latch,surface_anisotropy,9,0.5114339534956805,0.6257917537104621,0.4596107082576684,0.3811926673826052,0.3079449972885418,0.28565049755968763,0.83506584667335,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3345847154435768,0.661213163206857
latch,tactile_latency,9,0.7438659201433856,0.8078366645097211,0.19680925625968618,0.2132358145544517,0.2127985969093381,0.2000187372184043,0.5677435982328247,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09671871449556754,0.19465371342824214
lift,adhesion,9,0.5367343566212412,0.6453372274670869,0.43039459844465194,0.3620095694861524,0.2951369129321869,0.2581232216389682,0.825436771307535,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3025645045526897,0.6452573820443219
